goodsId,name,publisher,price,productType,detailUrl,gameOs,cid,pid,systemCid,sceneId,totalFiveStarGenerals,sTactics,seasonStartDays,experiencedSeasons,specialOrangeEquipment,recruitmentCurrent,recruitmentTarget,transferStatus,wantedCount,publishedAgo,detailScrapeStatus,detailError,detailHeroCount,detailUniqueHeroCount,importantHeroMatchedCount,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
商品ID,商品标题,卖家,价格,商品类型,商品链接,游戏系统,类目ID,父类目ID,系统类目ID,场景ID,橙色武将数量,S战法数量,赛季开始时间,经历赛季,特技橙装数量,求贤当前值,求贤目标值,转区状态,想要人数,发布时间,详情采集状态,详情采集错误,武将记录数,去重武将数,重要武将命中数,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
1781652460654090,卡池巨厚的全网最低大满贯,九游帐号,78888,成品号,https://www.jiaoyimao.com/jg1009207/1781652460654090.html?isGray=true,安卓,1844419,1844418,1673242941436126,750,,,,,,,,,,8886小时前发布,success,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781667598183879,心血号善带,九游帐号,500,成品号,https://www.jiaoyimao.com/jg1009207/1781667598183879.html?isGray=true,安卓,1844419,1844418,1673242941436126,750,,,,,,,,,,5002小时前发布,success,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780296032017621,大汉弓底子王道小号,九游帐号,1730,成品号,https://www.jiaoyimao.com/jg1009207/1780296032017621.html?isGray=true,安卓,1844419,1844418,1673242941436126,750,,,,,,,,,73028,,success,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1779437611238933,王道皇马吕布九州求贤满已开荒,九游帐号,3850,成品号,https://www.jiaoyimao.com/jg1009207/1779437611238933.html?isGray=true,安卓,1844419,1844418,1673242941436126,750,,,,,,,,,85027,,success,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780794794443109,5赛季超新区，拒马4幻神,华为帐号,52025,成品号,https://www.jiaoyimao.com/jg1009207/1780794794443109.html?isGray=true,安卓,1844419,1844418,1568703583954575,750,,,,,,,,,2564,,success,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781637931186017,华为v14全满贯顶级号,华为帐号,98000,成品号,https://www.jiaoyimao.com/jg1009207/1781637931186017.html?isGray=true,安卓,1844419,1844418,1568703583954575,750,,,,,,,,,,00011小时前发布,success,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781248283033354,满红3幻神，大汉底已成，已霸业,九游帐号,33666,成品号,https://www.jiaoyimao.com/jg1009207/1781248283033354.html?isGray=true,安卓,1844419,1844418,1673242941436126,750,,,,,,,,,66620,,success,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781520126106650,七赛季求贤满，典藏卢植欢迎议价,华为帐号,25888,成品号,https://www.jiaoyimao.com/jg1009207/1781520126106650.html?isGray=true,安卓,1844419,1844418,1568703583954575,750,,,,,,,,,88810,,success,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781675322229363,激战中阵容好,九游帐号,900,成品号,https://www.jiaoyimao.com/jg1009207/1781675322229363.html?isGray=true,安卓,1844419,1844418,1673242941436126,750,,,,,,,,,,90039分钟前发布,success,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
